Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_fd,cp_vs2,cp_vs1,cp_fs1,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cp_fs1_edges,cr_vs2_fs1_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_fflags,cp_csr_frm,std_vec,cp_custom_vfp_state,cp_custom_vfncvt_rup_overflow,cp_custom_FpRecSqrtEst_flag_edges,cp_custom_FpRecipEst_flag_edges,cp_custom_FpRecSqrtEst_edges,cp_custom_FpRecipEst_edges,cp_custom_vfp_NaN_input,cp_custom_vfclass_onehot,cp_custom_vfncvt_rod_overflow,cp_custom_vfredosum_ordered_sum,cp_custom_vfredosum_NAN_vl0,cp_custom_fmv_sf_vd_all_lmul,cp_custom_fmv_fs_vs2_all_lmul,cp_custom_vfp_flags_set,cp_custom_vfp_flags,cp_custom_vfp_flags_inactive_not_set,cp_custom
vfwmsac.vv,FWVV_ACC,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwmsac.vf,FWVF_ACC,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwnmsac.vv,FWVV_ACC,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwnmsac.vf,FWVF_ACC,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfsqrt.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfrsqrt7.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vd,v,x,,,x,,x,,x,,,,,,,x,nv_dz,x,
vfrec7.v,FVV,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vdon,v,x,,,,x,,x,x,,,,,,,x,nv_dz,,
vfmin.vv,FVVV,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vfmin.vf,FVVF,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vfmax.vv,FVVV,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vfmax.vf,FVVF,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vfsgnj.vv,FVVV,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfsgnj.vf,FVVF,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfsgnjn.vv,FVVV,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfsgnjn.vf,FVVF,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfsgnjx.vv,FVVV,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfsgnjx.vf,FVVF,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
vfredosum.vs,FVVSR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,von,v,x,,,,,,,x,,,x,x,,,x,nv_nx,,
vfwredosum.vs,FWVWSR,x,x,,x,x,,x,emul2,,x,emul2,,,emul2,,,f,f_emul2,fwred,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,x,,,x,nv_nx,,wred
vfredusum.vs,FVVSR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,von,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwredusum.vs,FWVWSR,x,x,,x,x,,x,emul2,,x,emul2,,,emul2,,,f,f_emul2,fwred,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,wred
vfredmax.vs,FVVSR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vfredmin.vs,FVVSR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfeq.vv,FMVV,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfeq.vf,FMVF,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfne.vv,FMVV,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfne.vf,FMVF,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmflt.vv,FMVV,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmflt.vf,FMVF,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfle.vv,FMVV,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfle.vf,FMVF,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfgt.vf,FMVF,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vmfge.vf,FMVF,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,,x,,,,,,,x,,,,,,,x,nv,,
vfmerge.vfm,FVVFM,x,x,,x,x,x,x,nv0,,nv0,,x,nv0,,,,f,,,v,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,
