Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl
vsaddu.vi,VVI_SAT,x,x,x,x,x,x,x,x,x
vssub.vv,VVV_SAT,x,x,x,x,x,x,x,x,x
vssub.vx,VVX_SAT,x,x,x,x,x,x,x,x,x
vssubu.vv,VVV_SAT,x,x,x,x,x,x,x,x,x
vssubu.vx,VVX_SAT,x,x,x,x,x,x,x,x,x
vaadd.vv,VVV,x,x,x,x,x,x,x,x,x
vaadd.vx,VVX,x,x,x,x,x,x,x,x,x
vaaddu.vv,VVV,x,x,x,x,x,x,x,x,x
vaaddu.vx,VVX,x,x,x,x,x,x,x,x,x
vasub.vv,VVV,x,x,x,x,x,x,x,x,x
vasub.vx,VVX,x,x,x,x,x,x,x,x,x
vasubu.vv,VVV,x,x,x,x,x,x,x,x,x
vasubu.vx,VVX,x,x,x,x,x,x,x,x,x
vsmul.vv,VVV_SAT,x,x,x,x,x,x,x,x,x
vsmul.vx,VVX_SAT,x,x,x,x,x,x,x,x,x
vssrl.vv,VVV,x,x,x,x,x,x,x,x,x
vssrl.vx,VVX,x,x,x,x,x,x,x,x,x
vssrl.vi,VVIU,x,x,x,x,x,x,x,x,x
vssra.vv,VVV,x,x,x,x,x,x,x,x,x
vssra.vx,VVX,x,x,x,x,x,x,x,x,x
vssra.vi,VVIU,x,x,x,x,x,x,x,x,x
vnclip.wv,VWV,x,x,x,x,x,,x,x,x
vnclip.wx,VWX,x,x,x,x,x,,x,x,x
vnclip.wi,VWI,x,x,x,x,x,,x,x,x
vnclipu.wv,VWV,x,x,x,x,x,,x,x,x
vnclipu.wx,VWX,x,x,x,x,x,,x,x,x
vnclipu.wi,VWI,x,x,x,x,x,,x,x,x
vredsum.vs,VVSR,x,x,x,x,x,x,x,x,x
vwredsum.vs,WVWSR,x,x,x,x,x,,x,x,x
vwredsumu.vs,WVWSR,x,x,x,x,x,,x,x,x
vredmax.vs,VVSR,x,x,x,x,x,x,x,x,x
vredmaxu.vs,VVSR,x,x,x,x,x,x,x,x,x
vredmin.vs,VVSR,x,x,x,x,x,x,x,x,x
vredminu.vs,VVSR,x,x,x,x,x,x,x,x,x
vredand.vs,VVSR,x,x,x,x,x,x,x,x,x
vredor.vs,VVSR,x,x,x,x,x,x,x,x,x
vredxor.vs,VVSR,x,x,x,x,x,x,x,x,x
vmand.mm,MMM,x,x,x,x,x,x,x,x,x
vmnand.mm,MMM,x,x,x,x,x,x,x,x,x
vmandn.mm,MMM,x,x,x,x,x,x,x,x,x
vmxor.mm,MMM,x,x,x,x,x,x,x,x,x
vmor.mm,MMM,x,x,x,x,x,x,x,x,x
vmnor.mm,MMM,x,x,x,x,x,x,x,x,x
vmorn.mm,MMM,x,x,x,x,x,x,x,x,x
vmxnor.mm,MMM,x,x,x,x,x,x,x,x,x
vcpop.m,XV,x,x,x,x,x,x,x,x,x
vfirst.m,XV,x,x,x,x,x,x,x,x,x
vmsbf.m,MM,x,x,x,x,x,x,x,x,x
vmsif.m,MM,x,x,x,x,x,x,x,x,x
vmsof.m,MM,x,x,x,x,x,x,x,x,x
viota.m,VM,x,x,x,x,x,x,x,x,x
vid.v,VID,x,x,x,x,x,x,x,x,x
vmv.x.s,VMVXS,x,x,x,x,x,x,x,x,x
vmv.s.x,VMVSX,x,x,x,x,x,x,x,x,x
vslideup.vx,VVXP,x,x,x,x,x,x,x,x,x
vslideup.vi,VVIP,x,x,x,x,x,x,x,x,x
vslidedown.vx,VVXP_DOWN,x,x,x,x,x,x,x,x,x
vslidedown.vi,VVIP_DOWN,x,x,x,x,x,x,x,x,x
vslide1up.vx,VVXP,x,x,x,x,x,x,x,x,x
vslide1down.vx,VVXP_DOWN,x,x,x,x,x,x,x,x,x
vrgather.vv,VVVP,x,x,x,x,x,x,x,x,x
vrgather.vx,VVXP,x,x,x,x,x,x,x,x,x
vrgather.vi,VVIP,x,x,x,x,x,x,x,x,x
vrgatherei16.vv,VVVP,x,x,,x,x,x,x,x,x
vcompress.vm,VCOMPRESS,x,x,x,x,x,x,x,x,x
vmv1r.v,VMVR,x,x,x,x,x,x,x,x,x
vmv2r.v,VMVR,x,x,x,x,x,x,x,x,x
vmv4r.v,VMVR,x,x,x,x,x,x,x,x,x
vmv8r.v,VMVR,x,x,x,x,x,x,x,x,x
