Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl,cp_mstatus_vs_off,cp_mstatus_fs_off,cp_vectorfp_mstatus_fs_state,cp_vectorfp_mstatus_fs_state_nonaffecting,cp_vectorfp_mstatus_fs_state_affecting_register,cp_vectorfp_mstatus_fs_state_affecting_csr
vfncvt.rtz.xu.f.w,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.rtz.x.f.v,FVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.rtz.x.f.v,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.rtz.x.f.w,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.f.xu.v,FVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.f.xu.v,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.f.xu.w,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.f.x.v,FVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.f.x.v,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.f.x.w,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwcvt.f.f.v,FVV,x,x,,x,,,x,x,x,x,x,x,x,x,x
vfncvt.f.f.w,FVV,x,x,,,x,,x,x,x,x,x,x,x,x,x
vfncvt.rod.f.f.w,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfclass.v,FVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
