Instruction,Type,RV32,RV64,cp_ssstrictv_widening_source_overlap,cp_ssstrictv_vext2_overlapping_vd_vs2,cp_ssstrictv_vext4_overlapping_vd_vs2,cp_ssstrictv_vext8_overlapping_vd_vs2,cp_ssstrictv_vwiden_overlapping_vd_vs1_lmul1,cp_ssstrictv_vwiden_overlapping_vd_vs2_lmul1,cp_ssstrictv_vwidenw_overlapping_vd_vs1_lmul1,cp_ssstrictv_vnarrow_overlapping_vd_vs2,cp_ssstrictv_vrgather_vd_vs1_eq,cp_ssstrictv_vrgather_vd_vs2_eq,cp_ssstrictv_masking_vd_eq_v0,cp_ssstrictv_masking_vs2_eq_v0,cp_ssstrictv_masking_vs1_eq_v0,cp_ssstrictv_ls_seg_vd_overflow,cp_ssstrictv_ls_seg_idx_vd_vs2_overlap,cp_ssstrictv_ls_wr_nf_not_pow2,cp_ssstrictv_ls_wr_nreg2_vd_unaligned,cp_ssstrictv_ls_wr_nreg4_vd_unaligned,cp_ssstrictv_ls_wr_nreg8_vd_unaligned,cp_ssstrictv_vadc_vsbc_vm1_reserved,cp_ssstrictv_vmv_vs2_not_v0_reserved,cp_ssstrictv_vfmv_vs2_not_v0_reserved,cp_ssstrictv_mask_logical_vm0_reserved,cp_ssstrictv_vid_vs2_not_v0_reserved,cp_ssstrictv_vmv_xs_sx_vm0_reserved,cp_ssstrictv_vfmv_fs_sf_vm0_reserved,cp_ssstrictv_vslideup_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs1_overlap,cp_ssstrictv_vcompress_vd_vs2_overlap,cp_ssstrictv_vcompress_vd_v0_overlap,cp_ssstrictv_vmvnr_simm_reserved,cp_ssstrictv_vmv2r_reg_align,cp_ssstrictv_vmv4r_reg_align,cp_ssstrictv_vmv8r_reg_align,cp_ssstrictv_vslide1up_vd_vs2_overlap,cp_ssstrictv_reserved_vcsrs,cp_ssstrictv_ls_eew_lt_sewmin,cp_ssstrictv_ls_mew_reserved,cp_ssstrictv_vcompress_vm0_reserved,cp_exceptionsv_vd_vs2_overlap,cp_exceptionsv_vd_vs1_overlap
vfsgnj.vv,FVVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfsgnjn.vf,FVVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfsgnjn.vv,FVVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfsgnjx.vf,FVVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfsgnjx.vv,FVVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfslide1down.vf,FVVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfslide1up.vf,FVVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
vfsqrt.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfsub.vf,FVVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfsub.vv,FVVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwadd.vf,FWVF,x,x,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwadd.vv,FWVV,x,x,,,,,x,x,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwadd.wf,FWWFM,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwadd.wv,FWWVM,x,x,x,,,,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwcvt.f.f.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwcvt.f.x.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwcvt.f.xu.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwcvt.rtz.x.f.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwcvt.rtz.xu.f.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwcvt.x.f.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwcvt.xu.f.v,FVV,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwmacc.vf,FWVF_ACC,x,x,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwmacc.vv,FWVV_ACC,x,x,,,,,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwmsac.vf,FWVF_ACC,x,x,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwmsac.vv,FWVV_ACC,x,x,,,,,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwmul.vf,FWVF,x,x,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwmul.vv,FWVV,x,x,,,,,x,x,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwnmacc.vf,FWVF_ACC,x,x,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwnmacc.vv,FWVV_ACC,x,x,,,,,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwnmsac.vf,FWVF_ACC,x,x,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwnmsac.vv,FWVV_ACC,x,x,,,,,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwredosum.vs,FWVWSR,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwredusum.vs,FWVWSR,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwsub.vf,FWVF,x,x,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwsub.vv,FWVV,x,x,,,,,x,x,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwsub.wf,FWWFM,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfwsub.wv,FWWVM,x,x,x,,,,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid.v,VID,x,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
viota.m,VM,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
vl1re16.v,VLR,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vl1re32.v,VLR,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vl1re64.v,VLR,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vl1re8.v,VLR,x,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
vl2re16.v,VLR,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
vl2re32.v,VLR,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
vl2re64.v,VLR,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
vl2re8.v,VLR,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
vl4re16.v,VLR,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
vl4re32.v,VLR,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
vl4re64.v,VLR,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
vl4re8.v,VLR,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
vl8re16.v,VLR,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
vl8re32.v,VLR,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
vl8re64.v,VLR,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
vl8re8.v,VLR,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
vle16.v,VLUS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vle16ff.v,VLSFF,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vle32.v,VLUS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vle32ff.v,VLSFF,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vle64.v,VLUS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vle64ff.v,VLSFF,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vle8.v,VLUS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vle8ff.v,VLSFF,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlm.v,VLR,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxei16.v,VLOX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxei32.v,VLOX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxei64.v,VLOX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxei8.v,VLOX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg2ei16.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg2ei32.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg2ei64.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg2ei8.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg3ei16.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg3ei32.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
