Instruction,Type,RV32,RV64,cp_misalignv_ls_element_misaligned,cp_misalignv_ls_wholereg_misaligned
vsseg2e64.v,VSSEG,x,x,x,
vsseg2e8.v,VSSEG,x,x,x,
vsseg3e16.v,VSSEG,x,x,x,
vsseg3e32.v,VSSEG,x,x,x,
vsseg3e64.v,VSSEG,x,x,x,
vsseg3e8.v,VSSEG,x,x,x,
vsseg4e16.v,VSSEG,x,x,x,
vsseg4e32.v,VSSEG,x,x,x,
vsseg4e64.v,VSSEG,x,x,x,
vsseg4e8.v,VSSEG,x,x,x,
vsseg5e16.v,VSSEG,x,x,x,
vsseg5e32.v,VSSEG,x,x,x,
vsseg5e64.v,VSSEG,x,x,x,
vsseg5e8.v,VSSEG,x,x,x,
vsseg6e16.v,VSSEG,x,x,x,
vsseg6e32.v,VSSEG,x,x,x,
vsseg6e64.v,VSSEG,x,x,x,
vsseg6e8.v,VSSEG,x,x,x,
vsseg7e16.v,VSSEG,x,x,x,
vsseg7e32.v,VSSEG,x,x,x,
vsseg7e64.v,VSSEG,x,x,x,
vsseg7e8.v,VSSEG,x,x,x,
vsseg8e16.v,VSSEG,x,x,x,
vsseg8e32.v,VSSEG,x,x,x,
vsseg8e64.v,VSSEG,x,x,x,
vsseg8e8.v,VSSEG,x,x,x,
vssseg2e16.v,VSSSEG,x,x,x,
vssseg2e32.v,VSSSEG,x,x,x,
vssseg2e64.v,VSSSEG,x,x,x,
vssseg2e8.v,VSSSEG,x,x,x,
vssseg3e16.v,VSSSEG,x,x,x,
vssseg3e32.v,VSSSEG,x,x,x,
vssseg3e64.v,VSSSEG,x,x,x,
vssseg3e8.v,VSSSEG,x,x,x,
vssseg4e16.v,VSSSEG,x,x,x,
vssseg4e32.v,VSSSEG,x,x,x,
vssseg4e64.v,VSSSEG,x,x,x,
vssseg4e8.v,VSSSEG,x,x,x,
vssseg5e16.v,VSSSEG,x,x,x,
vssseg5e32.v,VSSSEG,x,x,x,
vssseg5e64.v,VSSSEG,x,x,x,
vssseg5e8.v,VSSSEG,x,x,x,
vssseg6e16.v,VSSSEG,x,x,x,
vssseg6e32.v,VSSSEG,x,x,x,
vssseg6e64.v,VSSSEG,x,x,x,
vssseg6e8.v,VSSSEG,x,x,x,
vssseg7e16.v,VSSSEG,x,x,x,
vssseg7e32.v,VSSSEG,x,x,x,
vssseg7e64.v,VSSSEG,x,x,x,
vssseg7e8.v,VSSSEG,x,x,x,
vssseg8e16.v,VSSSEG,x,x,x,
